Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
High,3,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,0,Café,Bar,Vegetarian / Vegan Restaurant,Sandwich Place,Coffee Shop,Pizza Place,Cocktail Bar,Art Gallery,Yoga Studio,Taco Place
Medium,2,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1,Park,Café,Coffee Shop,Gym,Harbor / Marina,Brewery,Hotel,Trail,Scenic Lookout,Pizza Place
Medium,2,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.374846,0,Coffee Shop,Café,Hotel,Park,Restaurant,Theater,Farmers Market,Seafood Restaurant,Gym,Bistro
High,3,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,0,Café,Coffee Shop,Restaurant,Park,Plaza,Pizza Place,Art Gallery,Gym,Hotel,Neighborhood
Medium,2,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,3,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Furniture / Home Store,Sandwich Place,Vietnamese Restaurant,Bookstore,Grocery Store,Men's Store
Medium,2,M6B,North York,Glencairn,43.709577,-79.4450726,3,Bank,Fast Food Restaurant,Coffee Shop,Grocery Store,Caribbean Restaurant,Restaurant,Gas Station,Fried Chicken Joint,Sandwich Place,Pizza Place
Low,1,M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914,3,Coffee Shop,Italian Restaurant,Bank,Pizza Place,Café,Grocery Store,Sandwich Place,Caribbean Restaurant,Indian Restaurant,Restaurant
Low,1,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0,Italian Restaurant,Coffee Shop,Caribbean Restaurant,Furniture / Home Store,Pizza Place,Bakery,Café,Sandwich Place,Pharmacy,Sushi Restaurant
Medium,2,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Café,Coffee Shop,Italian Restaurant,Park,Bar,Ice Cream Shop,Grocery Store,Indian Restaurant,Ethiopian Restaurant,Mexican Restaurant
Medium,2,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,0,Café,Italian Restaurant,Bar,Coffee Shop,Bakery,Sushi Restaurant,Park,Brazilian Restaurant,Thai Restaurant,Portuguese Restaurant
Medium,2,M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,0,Bakery,Café,Restaurant,Italian Restaurant,Vegetarian / Vegan Restaurant,Cocktail Bar,Bar,Asian Restaurant,Coffee Shop,Art Gallery
Medium,2,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,0,Café,Restaurant,Coffee Shop,Bar,Bakery,Asian Restaurant,Gift Shop,Theater,Park,Japanese Restaurant
Low,1,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,4,Coffee Shop,Fast Food Restaurant,Gas Station,Supermarket,Vietnamese Restaurant,Pizza Place,Breakfast Spot,Big Box Store,Mediterranean Restaurant,Grocery Store
Low,1,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,4,Coffee Shop,Furniture / Home Store,Intersection,Sandwich Place,Park,Grocery Store,Fast Food Restaurant,Bakery,Gas Station,Pharmacy
Low,1,M6N,Toronto/York,"Runnymede, The Junction, Weston-Pellam Park, Carlton Village",43.6731853,-79.4872619,4,Coffee Shop,Park,Sandwich Place,Brewery,Grocery Store,Beer Store,Gas Station,Pizza Place,Burger Joint,Liquor Store
Low,1,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,0,Coffee Shop,Café,Bar,Restaurant,Thai Restaurant,Italian Restaurant,Bakery,Breakfast Spot,Grocery Store,Sandwich Place
Low,1,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,0,Coffee Shop,Park,Café,Bar,Bakery,Restaurant,Eastern European Restaurant,Breakfast Spot,Other Great Outdoors,Brewery
Low,1,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,0,Park,Bakery,Coffee Shop,Italian Restaurant,Café,River,Sushi Restaurant,Pizza Place,Pub,Thai Restaurant
High,3,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,0,Coffee Shop,Park,Japanese Restaurant,Bookstore,Restaurant,Ramen Restaurant,Café,Hotel,Italian Restaurant,Breakfast Spot
Low,1,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819,4,Coffee Shop,Hotel,Middle Eastern Restaurant,Restaurant,Burrito Place,Burger Joint,Caribbean Restaurant,Breakfast Spot,Sandwich Place,Electronics Store
Low,1,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,0,Brewery,Coffee Shop,Bakery,Park,Diner,Italian Restaurant,Pizza Place,Café,Indian Restaurant,Grocery Store
Low,1,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,1,Park,Café,Indian Restaurant,Grocery Store,American Restaurant,Bakery,Supermarket,Liquor Store,Bank,Bar
Low,1,M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,3,Park,Pizza Place,Coffee Shop,Burger Joint,Café,Bank,Grocery Store,Department Store,Bakery,Bar
Low,1,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,3,Coffee Shop,Park,Spa,Bank,Pub,Italian Restaurant,Sushi Restaurant,Breakfast Spot,French Restaurant,Liquor Store
Low,1,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,3,Coffee Shop,Italian Restaurant,Bank,Pizza Place,Sandwich Place,Park,Restaurant,Sushi Restaurant,Shopping Mall,Beer Store
Low,1,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,3,Restaurant,Coffee Shop,Sushi Restaurant,Bank,Gym / Fitness Center,Pizza Place,Bakery,Sporting Goods Shop,Grocery Store,Burrito Place
Low,1,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.5322424,3,Pharmacy,Shopping Mall,Bank,Bakery,Café,Grocery Store,Liquor Store,Supermarket,Golf Course,Playground
Medium,2,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,1,Convenience Store,Park,Pharmacy,Mexican Restaurant,Gym,Gym / Fitness Center,Bank,Bakery,Farmers Market,Sandwich Place
Low,1,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,3,Baseball Field,Coffee Shop,Convenience Store,Bank,Pizza Place,Grocery Store,Park,Farmers Market,Fast Food Restaurant,Gym
High,3,M9L,North York,Humber Summit,43.7563033,-79.5659633,1,Park,Bakery,Asian Restaurant,Electronics Store,Pharmacy,Food Court,Mexican Restaurant,Skating Rink,Shopping Mall,Bank
Medium,2,M9M,North York,"Humberlea, Emery",43.7247659,-79.5322424,4,Golf Course,Coffee Shop,Gas Station,Supplement Shop,Liquor Store,Bakery,Sandwich Place,Park,Beer Store,Nightclub
Medium,2,M9N,York,Weston,43.706876,-79.5181884,3,Grocery Store,Intersection,Mexican Restaurant,Bakery,Electronics Store,Fast Food Restaurant,Sandwich Place,Gas Station,Train Station,Furniture / Home Store
Low,1,M9P,Etobicoke,Westmount,43.696319,-79.5322424,3,Pizza Place,Bank,Coffee Shop,Restaurant,Grocery Store,Ice Cream Shop,Supplement Shop,Café,Skating Rink,Golf Course
Low,1,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,3,Coffee Shop,Liquor Store,Pizza Place,Pharmacy,Sandwich Place,American Restaurant,Shopping Mall,Beer Store,Bank,Breakfast Spot
Medium,2,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,4,Coffee Shop,Fast Food Restaurant,Grocery Store,Pizza Place,Sandwich Place,Fried Chicken Joint,Beer Store,Caribbean Restaurant,Thrift / Vintage Store,Electronics Store
High,3,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7067483,-79.5940544,4,Coffee Shop,Department Store,Gas Station,Restaurant,Gym,Paper / Office Supplies Store,Hardware Store,Sandwich Place,Auto Garage,Auto Dealership
